user_id,occupation,monthly_income,income_variance,upi_txn_count,upi_avg_amount,upi_inflow_outflow_ratio,gst_filing_frequency,monthly_revenue,savings_ratio,missed_payments,credit_score,loan_repaid,risk_level,reason
507,vendor,37386,0.16,477,921,1.67,4,176583,0.27,4,478,0,High Risk,High missed payments
508,vendor,85054,0.2,166,2023,0.9,8,28573,0.35,4,747,1,Medium Risk,High missed payments
509,delivery_agent,26184,0.21,117,2301,1.72,0,35582,0.25,1,403,0,High Risk,Stable financial behavior
510,shopkeeper,43787,0.45,83,601,1.3,8,156450,0.3,4,502,0,High Risk,High missed payments
511,freelancer,31621,0.4,243,1860,0.58,5,85296,0.08,5,430,0,High Risk,High missed payments
512,vendor,85564,0.41,374,372,1.19,3,164572,0.36,4,756,1,Low Risk,High missed payments
513,shopkeeper,87984,0.57,104,2691,1.91,9,85841,0.07,0,770,1,Low Risk,Low savings
514,vendor,69792,0.49,315,2278,1.83,6,41881,0.42,5,662,1,Medium Risk,High missed payments
515,vendor,55253,0.16,91,2596,0.65,8,90233,0.42,3,572,0,High Risk,High missed payments
516,freelancer,44051,0.27,346,132,1.62,4,85285,0.16,4,511,0,High Risk,High missed payments
517,driver,59811,0.32,280,2400,1.71,4,79547,0.2,4,602,1,Medium Risk,High missed payments
518,delivery_agent,40447,0.3,427,311,0.91,7,158294,0.27,5,491,0,High Risk,High missed payments
519,delivery_agent,93930,0.43,443,833,1.21,6,27933,0.32,2,812,1,Low Risk,Stable financial behavior
520,freelancer,40254,0.55,59,1273,1.57,7,103385,0.18,3,481,0,High Risk,High missed payments
521,vendor,94045,0.25,407,963,1.16,10,118706,0.32,3,812,1,Low Risk,High missed payments
522,shopkeeper,67418,0.38,493,2789,0.67,11,158012,0.18,3,656,1,Medium Risk,High missed payments
523,vendor,24472,0.49,177,993,1.56,9,104590,0.07,1,397,0,High Risk,Low savings
524,freelancer,13471,0.31,228,2780,1.87,1,126399,0.05,0,333,0,High Risk,Low savings
525,delivery_agent,18329,0.18,454,1368,1.48,8,79145,0.1,0,373,0,High Risk,Low savings
526,vendor,44865,0.34,441,1585,1.66,2,194682,0.41,2,524,0,High Risk,Stable financial behavior
527,delivery_agent,56850,0.13,242,738,1.04,5,77520,0.48,3,586,0,High Risk,High missed payments
528,shopkeeper,64220,0.57,141,2493,0.77,5,24544,0.24,3,623,1,Medium Risk,High missed payments
529,delivery_agent,16397,0.14,418,1822,1.46,1,74812,0.28,4,351,0,High Risk,High missed payments
530,delivery_agent,45525,0.32,280,888,0.99,11,190690,0.12,5,517,0,High Risk,High missed payments
531,driver,63072,0.36,127,927,1.79,6,139090,0.3,1,623,1,Medium Risk,Stable financial behavior
532,driver,93820,0.59,134,2920,0.68,8,119054,0.12,1,800,1,Low Risk,Low savings
533,driver,94530,0.18,79,98,1.15,11,176516,0.33,2,806,1,Low Risk,Stable financial behavior
534,delivery_agent,33284,0.16,262,2886,1.1,9,175861,0.47,0,456,0,High Risk,Stable financial behavior
535,freelancer,71330,0.1,98,342,1.91,10,152689,0.14,3,668,1,Medium Risk,High missed payments
536,delivery_agent,93369,0.18,314,1701,0.73,0,120834,0.39,5,796,1,Low Risk,High missed payments
537,freelancer,35122,0.2,194,585,0.51,7,154405,0.06,2,455,0,High Risk,Low savings
538,freelancer,80553,0.42,118,360,0.86,1,60002,0.22,1,720,1,Medium Risk,Stable financial behavior
539,driver,91906,0.21,107,586,1.73,0,151583,0.1,1,788,1,Low Risk,Low savings
540,vendor,72812,0.11,234,1976,0.81,7,132850,0.21,1,682,1,Medium Risk,Stable financial behavior
541,shopkeeper,17999,0.51,111,2736,0.86,1,150011,0.13,3,348,0,High Risk,High missed payments
542,driver,32436,0.28,357,283,0.69,5,188922,0.22,3,444,0,High Risk,High missed payments
543,driver,52963,0.28,494,1282,1.57,5,141548,0.24,3,571,0,High Risk,High missed payments
544,vendor,12096,0.25,345,2702,0.6,4,51786,0.19,4,321,0,High Risk,High missed payments
545,shopkeeper,35279,0.59,215,2191,1.0,7,56244,0.35,0,463,0,High Risk,Stable financial behavior
546,delivery_agent,36201,0.19,220,2424,0.92,2,87261,0.46,1,466,0,High Risk,Stable financial behavior
547,delivery_agent,29715,0.55,112,2322,1.33,9,38477,0.23,1,426,0,High Risk,Stable financial behavior
548,driver,39309,0.49,196,1016,1.6,3,197605,0.14,4,477,0,High Risk,High missed payments
549,shopkeeper,25078,0.14,355,939,1.3,6,185541,0.17,1,406,0,High Risk,Low savings
550,driver,66614,0.59,210,2108,1.9,6,28496,0.43,1,647,1,Medium Risk,Stable financial behavior
551,freelancer,15105,0.24,190,84,1.93,11,140522,0.31,3,343,0,High Risk,High missed payments
552,driver,12839,0.15,383,496,1.04,7,163342,0.25,3,332,0,High Risk,High missed payments
553,driver,78920,0.51,146,1813,1.67,1,40724,0.12,0,714,1,Medium Risk,Low savings
554,delivery_agent,53619,0.45,495,2538,1.61,10,50416,0.25,1,581,0,High Risk,Stable financial behavior
555,delivery_agent,52821,0.41,270,2750,1.84,11,55575,0.18,2,567,0,High Risk,Low savings
556,delivery_agent,23493,0.18,92,1608,1.17,1,96614,0.47,1,387,0,High Risk,Stable financial behavior
557,freelancer,27069,0.34,482,644,1.3,3,113566,0.45,1,422,0,High Risk,Stable financial behavior
558,delivery_agent,17531,0.49,341,2075,1.12,9,168480,0.09,0,363,0,High Risk,Low savings
559,shopkeeper,47051,0.25,427,2326,1.78,8,147192,0.28,2,539,0,High Risk,Stable financial behavior
560,vendor,17736,0.26,157,393,0.84,9,39359,0.15,1,356,0,High Risk,Low savings
561,shopkeeper,17710,0.1,315,1153,0.86,11,159770,0.23,5,356,0,High Risk,High missed payments
562,shopkeeper,77155,0.19,144,1469,1.06,8,190564,0.44,5,699,1,Medium Risk,High missed payments
563,delivery_agent,23975,0.54,311,1363,0.85,3,63634,0.29,2,394,0,High Risk,Stable financial behavior
564,vendor,72424,0.32,362,1528,1.34,8,137255,0.2,5,678,1,Medium Risk,High missed payments
565,vendor,55603,0.59,434,1201,0.7,2,62864,0.14,3,580,0,High Risk,High missed payments
566,vendor,33252,0.3,120,1971,0.98,11,114482,0.41,3,445,0,High Risk,High missed payments
567,freelancer,90797,0.46,491,1432,1.87,4,57355,0.33,2,796,1,Low Risk,Stable financial behavior
568,delivery_agent,11431,0.24,268,2624,1.11,9,57690,0.26,1,324,0,High Risk,Stable financial behavior
569,vendor,84603,0.28,70,2172,1.62,8,188886,0.15,2,745,1,Medium Risk,Low savings
570,freelancer,47481,0.2,141,1619,0.67,5,182717,0.2,5,521,0,High Risk,High missed payments
571,driver,19557,0.27,176,1944,0.87,2,76630,0.48,2,365,0,High Risk,Stable financial behavior
572,driver,84971,0.37,129,2293,1.71,9,199243,0.28,5,745,1,Medium Risk,High missed payments
573,freelancer,10162,0.6,361,1916,1.64,8,41658,0.23,3,316,0,High Risk,High missed payments
574,freelancer,44742,0.43,287,78,1.08,5,35797,0.28,2,517,0,High Risk,Stable financial behavior
575,delivery_agent,29675,0.2,421,755,1.93,3,78799,0.4,4,431,0,High Risk,High missed payments
576,delivery_agent,83997,0.12,453,1070,1.87,3,138301,0.2,5,748,1,Medium Risk,High missed payments
577,driver,27015,0.16,231,2113,1.94,7,72236,0.13,4,409,0,High Risk,High missed payments
578,vendor,60057,0.38,74,1496,1.14,6,26265,0.31,3,598,0,High Risk,High missed payments
579,driver,42591,0.48,205,2902,0.8,0,145611,0.35,1,500,0,High Risk,Stable financial behavior
580,vendor,19833,0.57,54,1709,1.44,5,141754,0.37,5,358,0,High Risk,High missed payments
581,vendor,17896,0.11,169,1016,1.53,7,178070,0.45,1,361,0,High Risk,Stable financial behavior
582,delivery_agent,42972,0.36,326,2326,0.69,2,111426,0.22,3,503,0,High Risk,High missed payments
583,shopkeeper,59733,0.34,67,2812,1.68,8,165378,0.08,1,600,0,Medium Risk,Low savings
584,shopkeeper,51800,0.43,480,622,0.53,9,198417,0.48,5,561,0,High Risk,High missed payments
585,freelancer,15347,0.38,247,1656,1.22,1,162957,0.25,0,345,0,High Risk,Stable financial behavior
586,delivery_agent,69063,0.44,106,664,1.0,5,129681,0.33,5,648,1,Medium Risk,High missed payments
587,vendor,12643,0.43,142,375,1.61,11,63826,0.35,5,322,0,High Risk,High missed payments
588,shopkeeper,50785,0.16,68,2972,0.97,0,75597,0.3,4,539,0,High Risk,High missed payments
589,vendor,28681,0.5,433,408,1.74,11,158515,0.14,0,434,0,High Risk,Low savings
590,shopkeeper,60026,0.16,402,1860,1.39,10,117375,0.39,0,619,1,Medium Risk,Stable financial behavior
591,shopkeeper,25892,0.45,242,2421,1.69,1,37084,0.41,0,408,0,High Risk,Stable financial behavior
592,shopkeeper,57299,0.31,286,1771,1.98,4,109447,0.3,5,587,0,High Risk,High missed payments
593,delivery_agent,27073,0.36,436,1399,1.52,0,24383,0.27,3,415,0,High Risk,High missed payments
594,driver,40682,0.55,475,214,1.98,7,112313,0.1,0,505,0,High Risk,Low savings
595,vendor,24289,0.54,326,1646,0.54,0,54361,0.09,2,393,0,High Risk,Low savings
596,delivery_agent,17927,0.51,276,1677,1.01,8,100294,0.2,1,361,0,High Risk,Stable financial behavior
597,delivery_agent,58330,0.36,282,2895,0.66,9,81331,0.19,3,595,0,High Risk,High missed payments
598,delivery_agent,76707,0.47,89,2552,0.89,10,115057,0.48,2,701,1,Medium Risk,Stable financial behavior
599,delivery_agent,87454,0.36,372,1226,1.76,2,171601,0.4,5,766,1,Low Risk,High missed payments
600,delivery_agent,75428,0.53,202,1200,0.55,11,141685,0.35,5,690,1,Medium Risk,High missed payments
601,freelancer,60601,0.3,176,242,1.28,1,116917,0.28,2,605,1,Medium Risk,Stable financial behavior
602,vendor,87465,0.59,286,2724,1.35,0,50932,0.13,4,761,1,Low Risk,High missed payments
603,delivery_agent,12539,0.57,104,2627,1.34,8,21908,0.49,4,320,0,High Risk,High missed payments
604,vendor,32669,0.47,485,141,1.21,3,181430,0.22,2,451,0,High Risk,Stable financial behavior
605,freelancer,80968,0.24,221,188,1.69,11,50412,0.1,4,727,1,Medium Risk,High missed payments
606,freelancer,30644,0.17,158,530,0.7,0,148319,0.27,1,428,0,High Risk,Stable financial behavior
607,vendor,28745,0.53,403,2546,0.97,0,103710,0.44,1,427,0,High Risk,Stable financial behavior
608,shopkeeper,38228,0.18,233,1406,1.42,6,22928,0.45,5,474,0,High Risk,High missed payments
609,driver,44521,0.53,488,2966,1.54,1,85158,0.05,4,516,0,High Risk,High missed payments
610,shopkeeper,36928,0.35,417,389,1.11,6,181704,0.45,0,481,0,High Risk,Stable financial behavior
611,shopkeeper,28322,0.3,247,1125,1.81,11,52309,0.17,2,423,0,High Risk,Low savings
612,shopkeeper,67714,0.55,420,2563,1.12,6,29280,0.07,1,657,1,Medium Risk,Low savings
613,delivery_agent,97896,0.4,422,2815,1.1,9,60449,0.43,4,833,1,Low Risk,High missed payments
614,freelancer,72292,0.39,136,848,0.55,8,46957,0.44,4,671,1,Medium Risk,High missed payments
615,shopkeeper,39055,0.38,250,524,1.33,6,187967,0.32,1,485,0,High Risk,Stable financial behavior
616,freelancer,52891,0.29,386,2498,1.56,0,90499,0.31,1,569,0,High Risk,Stable financial behavior
617,vendor,91912,0.49,371,1512,0.67,11,113057,0.42,0,803,1,Low Risk,Stable financial behavior
618,driver,16588,0.23,324,654,0.96,7,130065,0.4,4,351,0,High Risk,High missed payments
619,vendor,16304,0.57,260,870,1.67,7,172767,0.45,4,348,0,High Risk,High missed payments
620,vendor,17345,0.55,440,2754,1.05,3,94893,0.3,3,358,0,High Risk,High missed payments
621,delivery_agent,39300,0.27,167,647,0.86,7,45176,0.49,5,477,0,High Risk,High missed payments
622,driver,34259,0.46,240,1582,1.51,3,169481,0.5,0,459,0,High Risk,Stable financial behavior
623,vendor,98553,0.39,91,563,0.8,7,76967,0.1,1,827,1,Low Risk,Low savings
624,vendor,25352,0.27,91,1576,1.84,4,20987,0.43,1,400,0,High Risk,Stable financial behavior
625,driver,43365,0.59,364,1927,0.66,3,116854,0.27,2,509,0,High Risk,Stable financial behavior
626,driver,29446,0.11,325,1749,1.56,5,46015,0.22,5,424,0,High Risk,High missed payments
627,vendor,12336,0.23,378,1079,1.25,1,132350,0.33,1,331,0,High Risk,Stable financial behavior
628,driver,72032,0.36,66,549,1.8,11,86404,0.08,4,669,1,Medium Risk,High missed payments
629,vendor,85415,0.36,332,1734,0.69,1,136751,0.28,1,756,1,Low Risk,Stable financial behavior
630,vendor,17521,0.39,480,766,1.52,1,148807,0.44,4,360,0,High Risk,High missed payments
631,delivery_agent,81707,0.48,307,1191,1.36,8,188218,0.15,4,732,1,Medium Risk,High missed payments
632,shopkeeper,33481,0.41,112,1558,1.22,9,68231,0.24,0,450,0,High Risk,Stable financial behavior
633,vendor,28474,0.4,111,2698,1.24,2,180104,0.47,1,417,0,High Risk,Stable financial behavior
634,freelancer,56760,0.13,149,715,1.58,9,48305,0.24,0,590,0,High Risk,Stable financial behavior
635,shopkeeper,65718,0.29,68,2565,1.91,3,74306,0.21,5,627,1,Medium Risk,High missed payments
636,shopkeeper,54629,0.22,66,2258,0.64,9,141139,0.25,4,564,0,High Risk,High missed payments
637,shopkeeper,55232,0.23,374,2367,0.53,11,38318,0.28,5,578,0,High Risk,High missed payments
638,delivery_agent,96544,0.38,472,1129,1.71,7,164318,0.33,1,832,1,Low Risk,Stable financial behavior
639,vendor,77169,0.2,422,277,0.66,3,184916,0.41,5,706,1,Medium Risk,High missed payments
640,delivery_agent,60669,0.25,295,2946,1.98,10,183674,0.25,5,609,1,Medium Risk,High missed payments
641,vendor,88021,0.22,300,198,1.43,9,41584,0.42,1,777,1,Low Risk,Stable financial behavior
642,delivery_agent,79184,0.57,130,1119,1.48,9,35169,0.29,0,720,1,Medium Risk,Stable financial behavior
643,delivery_agent,57945,0.57,88,1217,0.8,6,45968,0.2,0,590,0,High Risk,Stable financial behavior
644,freelancer,23140,0.4,85,681,0.86,4,157457,0.35,4,378,0,High Risk,High missed payments
645,delivery_agent,93457,0.56,473,1413,1.49,8,142684,0.37,4,808,1,Low Risk,High missed payments
646,driver,24357,0.49,478,462,1.86,3,135391,0.3,1,406,0,High Risk,Stable financial behavior
647,freelancer,78673,0.39,437,1805,1.97,2,45444,0.08,1,722,1,Medium Risk,Low savings
648,delivery_agent,75633,0.1,458,569,0.8,1,126081,0.13,3,699,1,Medium Risk,High missed payments
649,shopkeeper,86943,0.49,246,1417,0.7,0,82497,0.18,3,757,1,Low Risk,High missed payments
650,driver,88258,0.45,207,2484,0.58,10,25362,0.18,2,770,1,Low Risk,Low savings
651,driver,22924,0.41,253,2372,1.8,5,119254,0.35,4,386,0,High Risk,High missed payments
652,driver,79286,0.48,245,2450,0.94,9,159322,0.06,5,712,1,Medium Risk,High missed payments
653,freelancer,84071,0.36,265,1152,0.5,1,88354,0.39,2,744,1,Medium Risk,Stable financial behavior
654,delivery_agent,67326,0.45,334,647,0.84,7,56368,0.17,2,650,1,Medium Risk,Low savings
655,delivery_agent,40651,0.57,245,1709,1.01,5,64109,0.19,0,494,0,High Risk,Low savings
656,shopkeeper,80202,0.29,356,1735,1.99,11,47426,0.29,5,727,1,Medium Risk,High missed payments
657,shopkeeper,58777,0.45,201,2655,1.29,11,137632,0.15,0,602,1,Medium Risk,Low savings
658,driver,26994,0.34,63,2210,0.81,4,132637,0.45,3,403,0,High Risk,High missed payments
659,shopkeeper,77263,0.44,374,2238,1.0,1,59023,0.09,2,707,1,Medium Risk,Low savings
660,freelancer,69634,0.48,195,1974,1.0,6,142268,0.25,3,658,1,Medium Risk,High missed payments
661,delivery_agent,20800,0.12,475,779,0.53,1,175964,0.43,5,375,0,High Risk,High missed payments
662,driver,47823,0.42,106,638,0.7,4,129211,0.33,5,522,0,High Risk,High missed payments
663,shopkeeper,73878,0.21,260,2508,1.54,1,114897,0.18,4,682,1,Medium Risk,High missed payments
664,freelancer,28708,0.44,317,426,0.68,10,167079,0.24,1,426,0,High Risk,Stable financial behavior
665,freelancer,22819,0.33,259,1457,0.85,9,99777,0.37,0,393,0,High Risk,Stable financial behavior
666,shopkeeper,84905,0.49,66,1919,1.03,10,64858,0.49,4,744,1,Medium Risk,High missed payments
667,delivery_agent,73870,0.16,335,800,1.64,10,196145,0.45,4,691,1,Medium Risk,High missed payments
668,shopkeeper,19283,0.41,393,676,1.37,1,110042,0.2,0,373,0,High Risk,Stable financial behavior
669,driver,40573,0.24,252,1679,1.53,6,103098,0.5,0,498,0,High Risk,Stable financial behavior
670,shopkeeper,88707,0.53,148,1044,1.35,8,40239,0.05,5,764,1,Low Risk,High missed payments
671,freelancer,40933,0.56,328,1633,1.53,4,164137,0.06,5,489,0,High Risk,High missed payments
672,shopkeeper,15774,0.6,258,752,0.5,6,130951,0.42,2,345,0,High Risk,Stable financial behavior
673,delivery_agent,82055,0.5,178,2559,1.9,3,61291,0.14,3,730,1,Medium Risk,High missed payments
674,vendor,20983,0.48,384,2109,0.67,1,58805,0.08,5,370,0,High Risk,High missed payments
675,shopkeeper,28133,0.21,337,1229,1.11,2,118831,0.16,4,415,0,High Risk,High missed payments
676,delivery_agent,24939,0.27,301,526,1.66,1,169515,0.24,2,400,0,High Risk,Stable financial behavior
677,delivery_agent,10781,0.33,314,450,1.15,4,29290,0.38,2,319,0,High Risk,Stable financial behavior
678,freelancer,66700,0.49,320,2905,1.92,5,151283,0.33,4,645,1,Medium Risk,High missed payments
679,delivery_agent,37624,0.56,461,2274,1.2,6,103634,0.16,5,475,0,High Risk,High missed payments
680,delivery_agent,16823,0.19,457,106,1.81,2,39072,0.28,4,356,0,High Risk,High missed payments
681,delivery_agent,28489,0.56,237,1925,1.72,3,63290,0.47,1,423,0,High Risk,Stable financial behavior
682,delivery_agent,49961,0.45,468,497,1.97,7,105186,0.42,5,552,0,High Risk,High missed payments
683,driver,39118,0.41,263,252,1.89,3,35115,0.2,3,481,0,High Risk,High missed payments
684,driver,91816,0.2,332,1706,1.85,6,25149,0.49,4,795,1,Low Risk,High missed payments
685,freelancer,32263,0.13,260,787,1.6,11,61992,0.37,5,442,0,High Risk,High missed payments
686,shopkeeper,23565,0.38,414,251,1.05,5,37716,0.08,0,399,0,High Risk,Low savings
687,delivery_agent,30354,0.43,125,1403,0.66,6,117724,0.07,1,426,0,High Risk,Low savings
688,shopkeeper,52951,0.21,197,2460,1.53,0,33621,0.13,3,558,0,High Risk,High missed payments
689,shopkeeper,33648,0.38,370,941,1.97,2,157892,0.38,5,450,0,High Risk,High missed payments
690,freelancer,60729,0.53,262,2551,1.59,5,133065,0.13,0,613,1,Medium Risk,Low savings
691,delivery_agent,51971,0.52,482,2453,1.89,2,193872,0.28,5,561,0,High Risk,High missed payments
692,delivery_agent,28658,0.56,158,265,1.71,6,50399,0.09,0,422,0,High Risk,Low savings
693,vendor,31253,0.28,178,2652,0.74,8,139374,0.46,3,434,0,High Risk,High missed payments
694,shopkeeper,74166,0.26,59,2984,0.87,2,165074,0.2,1,681,1,Medium Risk,Stable financial behavior
695,shopkeeper,58563,0.47,96,72,1.01,0,63098,0.46,0,593,0,High Risk,Stable financial behavior
696,driver,36390,0.32,428,2252,0.75,9,65511,0.48,2,475,0,High Risk,Stable financial behavior
697,vendor,98664,0.14,364,1259,1.37,5,73243,0.05,3,834,1,Low Risk,High missed payments
698,driver,61578,0.24,145,2346,1.96,11,135131,0.26,3,614,1,Medium Risk,High missed payments
699,driver,89025,0.31,495,798,1.64,0,48750,0.06,4,778,1,Low Risk,High missed payments
700,driver,42658,0.25,152,854,1.14,0,168382,0.46,1,501,0,High Risk,Stable financial behavior
701,freelancer,16852,0.27,429,183,0.51,7,75398,0.28,2,358,0,High Risk,Stable financial behavior
702,freelancer,12551,0.25,391,370,0.97,8,64345,0.08,2,331,0,High Risk,Low savings
703,driver,81947,0.12,195,2487,1.29,1,113430,0.1,4,726,1,Medium Risk,High missed payments
704,vendor,71001,0.42,417,483,0.99,8,134921,0.22,0,680,1,Medium Risk,Stable financial behavior
705,shopkeeper,59159,0.4,479,1095,0.67,4,111729,0.47,0,612,1,Medium Risk,Stable financial behavior
706,vendor,61707,0.43,465,922,1.16,7,71843,0.36,2,624,1,Medium Risk,Stable financial behavior
707,delivery_agent,43243,0.2,76,2955,0.88,6,161294,0.44,1,504,0,High Risk,Stable financial behavior
708,freelancer,31800,0.25,269,2148,1.86,6,182581,0.21,0,446,0,High Risk,Stable financial behavior
709,shopkeeper,85939,0.41,67,2273,0.65,3,151458,0.07,3,746,1,Medium Risk,High missed payments
710,shopkeeper,67828,0.4,216,2967,0.57,1,84334,0.49,5,642,1,Medium Risk,High missed payments
711,delivery_agent,17239,0.35,482,302,0.51,4,87170,0.06,4,355,0,High Risk,High missed payments
712,delivery_agent,16710,0.28,131,1015,0.99,10,60878,0.48,1,352,0,High Risk,Stable financial behavior
713,driver,31384,0.56,477,788,1.49,10,189421,0.22,0,451,0,High Risk,Stable financial behavior
714,freelancer,31038,0.27,121,1179,1.6,2,173024,0.05,5,423,0,High Risk,High missed payments
715,freelancer,50846,0.33,359,1389,1.18,8,110352,0.36,2,557,0,High Risk,Stable financial behavior
716,vendor,97983,0.44,303,351,1.53,5,172601,0.49,4,829,1,Low Risk,High missed payments
717,driver,77821,0.37,211,2645,1.04,0,192593,0.48,0,711,1,Medium Risk,Stable financial behavior
718,driver,47991,0.27,376,2027,1.5,2,38383,0.12,2,538,0,High Risk,Low savings
719,driver,89057,0.32,469,2813,0.56,11,155973,0.13,0,788,1,Low Risk,Low savings
720,driver,16971,0.5,451,2876,1.09,3,62889,0.3,4,354,0,High Risk,High missed payments
721,freelancer,39139,0.24,87,2365,1.69,8,34633,0.34,3,478,0,High Risk,High missed payments
722,freelancer,95445,0.17,492,600,1.7,10,82244,0.38,3,825,1,Low Risk,High missed payments
723,driver,87067,0.26,442,1528,1.57,5,149177,0.13,5,765,1,Low Risk,High missed payments
724,vendor,90257,0.52,250,1365,0.81,3,170235,0.48,2,782,1,Low Risk,Stable financial behavior
725,shopkeeper,94742,0.14,249,1637,0.87,0,161779,0.34,3,805,1,Low Risk,High missed payments
726,shopkeeper,47711,0.6,304,1872,1.99,7,103597,0.43,4,535,0,High Risk,High missed payments
727,vendor,16530,0.37,228,1874,0.66,10,196173,0.29,2,350,0,High Risk,Stable financial behavior
728,driver,21116,0.59,84,1214,0.77,1,195778,0.24,0,371,0,High Risk,Stable financial behavior
729,freelancer,75794,0.57,131,363,0.7,10,35115,0.49,1,698,1,Medium Risk,Stable financial behavior
730,shopkeeper,10282,0.33,438,233,0.99,10,95379,0.31,0,326,0,High Risk,Stable financial behavior
731,delivery_agent,89473,0.2,447,1737,0.82,7,59979,0.44,4,783,1,Low Risk,High missed payments
732,delivery_agent,11898,0.18,269,762,1.25,5,191713,0.48,5,320,0,High Risk,High missed payments
733,vendor,14135,0.22,207,2225,1.21,7,89377,0.35,2,336,0,High Risk,Stable financial behavior
734,driver,16629,0.46,53,1360,1.85,5,26416,0.3,0,349,0,High Risk,Stable financial behavior
735,shopkeeper,95120,0.24,216,2797,0.55,4,161705,0.05,2,807,1,Low Risk,Low savings
736,driver,99087,0.27,497,2483,0.98,4,148785,0.07,3,839,1,Low Risk,High missed payments
737,shopkeeper,75031,0.32,458,320,1.39,9,151666,0.14,1,704,1,Medium Risk,Low savings
738,vendor,43380,0.56,461,1844,1.41,9,165465,0.13,4,512,0,High Risk,High missed payments
739,vendor,27071,0.19,253,860,1.22,10,186452,0.16,0,418,0,High Risk,Low savings
740,delivery_agent,30074,0.1,243,2512,1.72,7,196128,0.19,1,433,0,High Risk,Low savings
741,driver,77843,0.13,284,247,0.59,6,150364,0.21,4,707,1,Medium Risk,High missed payments
742,delivery_agent,49901,0.55,255,1129,1.72,7,117507,0.24,4,544,0,High Risk,High missed payments
743,driver,21205,0.42,199,2928,1.24,11,138243,0.09,5,371,0,High Risk,High missed payments
744,delivery_agent,65661,0.24,208,1276,0.7,7,155933,0.07,3,634,1,Medium Risk,High missed payments
745,freelancer,15906,0.19,328,1694,1.83,6,123070,0.35,5,346,0,High Risk,High missed payments
746,freelancer,12591,0.25,353,677,1.47,1,56126,0.29,5,324,0,High Risk,High missed payments
747,freelancer,72987,0.16,453,653,0.75,10,100382,0.25,2,690,1,Medium Risk,Stable financial behavior
748,freelancer,73370,0.57,430,1211,0.55,8,184754,0.34,2,690,1,Medium Risk,Stable financial behavior
749,shopkeeper,90685,0.49,215,1495,0.71,6,38228,0.42,1,786,1,Low Risk,Stable financial behavior
750,freelancer,64400,0.33,360,1130,1.41,11,44009,0.24,3,636,1,Medium Risk,High missed payments
751,vendor,35150,0.53,117,1635,0.77,10,20094,0.34,4,452,0,High Risk,High missed payments
752,vendor,41852,0.22,137,2168,0.84,5,100636,0.48,3,494,0,High Risk,High missed payments
753,shopkeeper,52870,0.46,266,960,0.54,8,118453,0.43,3,563,0,High Risk,High missed payments
754,freelancer,62756,0.53,50,643,1.58,0,168502,0.24,1,614,1,Medium Risk,Stable financial behavior
755,freelancer,66481,0.28,184,1445,1.72,10,186643,0.34,2,645,1,Medium Risk,Stable financial behavior
756,freelancer,11283,0.48,234,649,1.7,1,74486,0.13,3,315,0,High Risk,High missed payments
757,delivery_agent,43691,0.25,400,563,0.69,0,110510,0.3,3,510,0,High Risk,High missed payments
758,driver,11125,0.25,189,1945,1.85,9,40860,0.49,3,319,0,High Risk,High missed payments
759,delivery_agent,77065,0.15,155,2181,1.51,11,92812,0.28,0,710,1,Medium Risk,Stable financial behavior
760,driver,36170,0.32,182,1116,1.85,2,86087,0.47,3,463,0,High Risk,High missed payments
761,freelancer,18438,0.46,157,2936,1.17,10,159558,0.23,3,358,0,High Risk,High missed payments
762,freelancer,30095,0.57,227,2007,1.16,4,69607,0.5,4,426,0,High Risk,High missed payments
763,delivery_agent,26154,0.4,347,2703,1.68,0,160817,0.31,5,403,0,High Risk,High missed payments
764,delivery_agent,18004,0.53,407,859,0.64,3,126664,0.07,0,364,0,High Risk,Low savings
765,driver,19752,0.51,429,2230,1.28,7,38330,0.31,3,374,0,High Risk,High missed payments
766,vendor,65426,0.19,445,1138,1.75,5,140803,0.17,5,639,1,Medium Risk,High missed payments
767,driver,36819,0.34,408,339,1.75,0,191150,0.06,3,470,0,High Risk,High missed payments
768,delivery_agent,34217,0.16,195,2473,1.93,11,63336,0.42,1,460,0,High Risk,Stable financial behavior
769,delivery_agent,98708,0.44,499,818,1.55,0,28070,0.17,1,841,1,Low Risk,Low savings
770,shopkeeper,42994,0.57,123,2564,0.81,2,21320,0.41,5,493,0,High Risk,High missed payments
771,delivery_agent,25036,0.17,157,520,0.53,9,109043,0.18,0,400,0,High Risk,Low savings
772,shopkeeper,87275,0.47,171,2246,1.22,7,58921,0.14,4,759,1,Low Risk,High missed payments
773,vendor,59416,0.42,66,137,1.27,10,26589,0.49,0,603,1,Medium Risk,Stable financial behavior
774,driver,19587,0.39,245,2493,0.86,10,112995,0.21,0,372,0,High Risk,Stable financial behavior
775,driver,10645,0.3,376,839,0.69,7,35589,0.32,1,322,0,High Risk,Stable financial behavior
776,shopkeeper,40930,0.28,367,1714,1.38,2,56375,0.32,1,499,0,High Risk,Stable financial behavior
777,driver,91835,0.12,346,1359,1.65,6,63085,0.3,4,794,1,Low Risk,High missed payments
778,delivery_agent,40090,0.21,301,914,1.99,11,80840,0.46,3,495,0,High Risk,High missed payments
779,freelancer,97489,0.11,168,1343,1.64,2,194272,0.35,4,820,1,Low Risk,High missed payments
780,shopkeeper,62142,0.39,211,73,1.69,3,118704,0.23,3,614,1,Medium Risk,High missed payments
781,driver,36475,0.15,247,1936,1.42,8,177804,0.44,5,465,0,High Risk,High missed payments
